# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface

 
  CCTV-1高清,igmp://239.255.2.2:8000
  深泽电视,igmp://239.255.3.31:9676

  赵县电视,igmp://239.255.2.122:8720

  晋州电视,igmp://239.255.3.38:9716

  井陉电视,igmp://239.255.3.208:10204

  新乐综合频道,igmp://239.255.2.63:8366

  围场电视,igmp://239.255.2.129:8762

  平泉电视,igmp://239.255.3.23:9638

  滦平电视,igmp://239.255.2.123:8726

  双滦电视,igmp://239.255.2.125:8738

  兴隆电视,igmp://239.255.2.127:8750

  隆化电视,igmp://239.255.3.71:9848

  承德电视,igmp://239.255.3.172:9508

  宽城新闻,igmp://239.255.3.69:9520

  任泽电视,igmp://239.255.3.24:9644

  邯山电视,igmp://239.255.3.25:9650

  崇礼电视,igmp://239.255.3.26:9656

  顺平电视,igmp://239.255.3.27:9662

  赤城电视,igmp://239.255.3.43:9736

  沽源新闻综合,igmp://239.255.2.214:9272

  康保电视,igmp://239.255.3.48:9756

  遵化电视,igmp://239.255.3.146:9956

  昌黎电视,igmp://239.255.2.128:8756

  抚宁电视,igmp://239.255.3.206:10196

  卢龙电视,igmp://239.255.3.210:10212

  唐钢电视,igmp://239.255.2.111:8654

  丰南电视,igmp://239.255.2.130:8768

  迁西电视,igmp://239.255.2.132:8780

  滦南电视,igmp://239.255.2.134:8792

  玉田电视,igmp://239.255.2.136:8804

  滦州电视,igmp://239.255.2.138:8816

  香河电视,igmp://239.255.2.140:8828

  大城电视,igmp://239.255.2.142:8840

  大厂电视,igmp://239.255.2.143:8846

  三河电视,igmp://239.255.3.28:9668

  永清电视,igmp://239.255.3.54:9780

  成安电视,igmp://239.255.3.131:9896

  魏县电视,igmp://239.255.3.148:9964

  霸州综合,igmp://239.255.3.214:10228

  黄骅电视,igmp://239.255.2.147:8870

  孟村综合频道,igmp://239.255.2.149:8882

  东光电视,igmp://239.255.2.151:8894

  青县电视,igmp://239.255.2.152:8900

  盐山电视,igmp://239.255.3.32:9682

  南皮电视,igmp://239.255.3.29:9669

  肃宁电视,igmp://239.255.3.30:9670

  吴桥电视,igmp://239.255.3.51:9768

  丰宁综合,igmp://239.255.3.215:12232

  沧县电视,igmp://239.255.2.109:8642

  定兴电视,igmp://239.255.2.153:8906

  阜平电视,igmp://239.255.2.155:8918

  涞水电视,igmp://239.255.2.156:8924

  满城电视,igmp://239.255.2.158:8936

  涞源电视,igmp://239.255.2.161:8954

  高碑店电视,igmp://239.255.2.162:8960

  清苑电视,igmp://239.255.2.163:8966

  涿州电视,igmp://239.255.2.166:8984

  唐县电视,igmp://239.255.2.169:9002

  曲阳电视,igmp://239.255.2.170:9008

  望都电视,igmp://239.255.2.171:9014

  定州电视,igmp://239.255.2.173:9026

  雄县电视,igmp://239.255.2.175:9038

  高阳电视,igmp://239.255.2.176:9044

  安新电视,igmp://239.255.2.177:9050

